model,estimator,K,N,MAE,median_AE,max_AE,num_rows
"3B","raw_plugin",32,4,0.055464566562419756,0.033808682193637196,0.2676856510199741,119
"3B","raw_plugin",32,8,0.06884924533775695,0.029649255818727946,0.4000549703157803,119
"3B","raw_plugin",32,16,0.08868384635674594,0.040909887566300214,0.5619654557453568,119
"3B","raw_plugin",32,32,0.11040771641532128,0.038457127476669656,0.6941042462623195,119
"3B","raw_plugin",32,48,0.12485981287917189,0.04162249813839802,0.7600520677484446,119
"3B","raw_plugin",32,64,0.1354369251499238,0.045904817915323304,0.8445298081558485,119
"3B","raw_plugin",32,128,0.1496884228193535,0.04817216043825956,0.9501712011438378,119
"3B","raw_plugin",32,256,0.14916044142188925,0.02634223040123197,0.9659798419421446,119
"3B","raw_plugin",64,1,0.02559168198529412,0.01806640625,0.1259765625,119
"3B","raw_plugin",64,2,0.02909072707681095,0.01865243911743164,0.13982152938842773,119
"3B","raw_plugin",64,4,0.03872546272792703,0.025472087862738135,0.2145178603273621,119
"3B","raw_plugin",64,8,0.052315024377706056,0.03581433766645811,0.23823178104390919,119
"3B","raw_plugin",64,16,0.06656858067823031,0.034284695229009565,0.33892978567435944,119
"3B","raw_plugin",64,32,0.08631391158132742,0.02894852359116677,0.56886412971343,119
"3B","raw_plugin",64,48,0.10412284100220776,0.036089838216005865,0.7098584493827831,119
"3B","raw_plugin",64,64,0.11668700144463012,0.04276064793120127,0.795732675599842,119
"3B","raw_plugin",64,128,0.1405992252133454,0.03713093631629512,0.9144578756021624,119
"3B","raw_plugin",64,256,0.15356340535256538,0.026305987647998165,0.9493900560810818,119
"3B","raw_plugin",128,1,0.015801437762605043,0.0107421875,0.1181640625,119
"3B","raw_plugin",128,2,0.01770492161021513,0.010056257247924805,0.13377904891967773,119
"3B","raw_plugin",128,4,0.024486219901548874,0.014563252002290028,0.1435634206760028,119
"3B","raw_plugin",128,8,0.03330924220369297,0.020782832559157895,0.23305074179131274,119
"3B","raw_plugin",128,16,0.04449835823882053,0.024395180452355725,0.3310725814990814,119
"3B","raw_plugin",128,32,0.06342784086582479,0.02835884543116518,0.4432503442324943,119
"3B","raw_plugin",128,48,0.0783550186211222,0.03300511068225165,0.5236931543768966,119
"3B","raw_plugin",128,64,0.08964967941260117,0.039167380509690486,0.5863584503799055,119
"3B","raw_plugin",128,128,0.11351151184945221,0.04247818532230965,0.7984257362933318,119
"3B","raw_plugin",128,256,0.13265256329448882,0.02316153466385873,0.9319390327590659,119
"3B","raw_plugin",256,1,0.013717010241596638,0.00927734375,0.0634765625,119
"3B","raw_plugin",256,2,0.013880623488866982,0.007901668548583984,0.08943700790405273,119
